-1.5302,2,-5.88666
-3.46943,2,-5.53041
-5.59795,2,-5.13984
-6.52508,2,-7.42183
-4.28291,2,-6.5753
-6.24169,2,-7.59588
-10.1287,2,-0.95559
7.18101,2,-5.27724
6.22228,2,-5.70306
6.88752,2,-7.04519
5.82803,2,-8.51838
5.58254,2,-9.69881
8.58276,2,-7.50077
8.09316,2,-8.42146
-3.39623,2,-7.28775
-6.41009,2,-8.37109
-10.1308,2,-2.16369
-11.6542,2,-1.14514
-12.7465,2,-2.3619
-11.2857,2,-2.81915
-14.2212,2,-2.84347
-20.6086,2,-15.2324
-24.5465,2,-19.8685
-28.9473,2,-21.1582
-35.3548,2,-17.8651
-40.9525,2,-21.0048
-15.4792,2,-19.4111
-7.84373,2,-15.8626
-2.91677,2,-14.0523
4.36732,2,-10.7213
-16.0608,2,-19.7172
-16.3964,2,-22.2176
-8.59051,2,-16.9713
-3.73883,2,-15.573
